invoice_id,payment_id,vendor,expected_amount,actual_amount,variance,posting_date,status,department,root_cause,recommended_action
53973601,PAY-0198180401,DISCOUNT BUILDERS SUPPLY,256.05,256.05,0.0,2022-02-15,matched,HOM Homelessness Services,Matched payment,No action required.
53924401,PAY-0182698301,BlueTriton Brands Inc,41.03,41.03,0.0,2021-10-01,matched,DPH Public Health,Matched payment,No action required.
53983701,PAY-0198325601,VERIZON WIRELESS,41.54,48.87,7.33,2022-02-17,overpaid,PUC Public Utilities Commsn,Tax or surcharge applied twice,Validate tax components and adjust the payment record.
53924401,PAY-0206278301,BlueTriton Brands Inc,67.39,67.39,0.0,2022-05-24,matched,DPH Public Health,Matched payment,No action required.
54006301,PAY-0180025301,STAPLES BUSINESS ADVANTAGE,293.74,293.74,0.0,2021-09-10,duplicate_suspected,LIB Public Library,Same invoice may have been submitted through two channels,Compare intake channels and cancel the duplicate record.
54007901,PAY-0180295201,Multi Shipping Center & More,28.03,28.03,0.0,2021-09-13,duplicate_suspected,PUC Public Utilities Commsn,Repeat payment detected for same invoice pattern,Freeze the repeated payment and verify vendor history.
53918301,PAY-0198816701,KONICA MINOLTA BUSINESS SOLUTNS USA INC,32.88,32.88,0.0,2022-02-22,matched,DPH Public Health,Matched payment,No action required.
53917201,PAY-0174160901,VESTIS SERVICES LLC,516.43,516.43,0.0,2021-07-20,matched,AIR Airport Commission,Matched payment,No action required.
53982601,PAY-0179399701,GRAINGER,566.7,666.71,100.01,2021-09-02,overpaid,PUC Public Utilities Commsn,Tax or surcharge applied twice,Validate tax components and adjust the payment record.
53924401,PAY-0178247301,BlueTriton Brands Inc,4.33,4.33,0.0,2021-08-23,matched,DPH Public Health,Matched payment,No action required.
53925701,PAY-0180470701,OFFICE DEPOT,251.66,251.66,0.0,2021-09-14,matched,DPH Public Health,Matched payment,No action required.
53972701,PAY-0193159901,XEROX CORPORATION,30.17,30.17,0.0,2022-01-07,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53917201,PAY-0193895401,VESTIS SERVICES LLC,433.89,433.89,0.0,2022-01-11,matched,AIR Airport Commission,Matched payment,No action required.
53987201,PAY-0173698101,MEDLINE INDUSTRIES INC,29.39,24.91,-4.48,2021-07-16,underpaid,DPH Public Health,Installment split created a short settlement,Match split installments against the original invoice value.
53944301,PAY-0175352801,M S C INDUSTRIAL SUPPLY COMPANY INC,9.95,9.95,0.0,2021-07-29,matched,ADM GSA - City Administrator,Matched payment,No action required.
54011001,PAY-0199273701,HILL-ROM COMPANY INC,3704.04,3818.6,114.56,2022-02-23,ledger_mismatch,DPH Public Health,Ledger sync delay or wrong department mapping,Reconcile ledger entry and correct department allocation.
53969601,PAY-0202247701,TFB GLOBAL LLC,459.83,459.83,0.0,2022-03-16,matched,AIR Airport Commission,Matched payment,No action required.
53928401,PAY-0204253201,FILIPINO-AMERICAN DEVELOPMENT FOUNDATION,2774.34,2774.34,0.0,2022-03-31,matched,MYR Mayor,Matched payment,No action required.
53975701,PAY-0186425901,CENTER HARDWARE CO INC,74.61,74.61,0.0,2021-11-04,matched,REG Elections,Matched payment,No action required.
53938201,PAY-0175716401,TERUMO MEDICAL CORP,2281.13,2281.13,0.0,2021-08-02,matched,DPH Public Health,Matched payment,No action required.
53924401,PAY-0180441401,BlueTriton Brands Inc,19.01,19.01,0.0,2021-09-14,matched,DPH Public Health,Matched payment,No action required.
53965201,PAY-0204943201,GOLDEN GATE PETROLEUM,6072.4,6072.4,0.0,2022-04-06,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53975701,PAY-0197169001,CENTER HARDWARE CO INC,483.96,569.36,85.4,2022-02-08,overpaid,REG Elections,Tax or surcharge applied twice,Validate tax components and adjust the payment record.
53934601,PAY-0184321201,GRAINGER,420.43,420.43,0.0,2021-10-18,matched,DPH Public Health,Matched payment,No action required.
53919601,PAY-0187502101,BAIN CAPITAL CREDIT LP,7430.77,7430.77,0.0,2021-11-15,matched,RET Retirement System,Matched payment,No action required.
53917201,PAY-0204112801,VESTIS SERVICES LLC,22.18,22.18,0.0,2022-03-30,matched,AIR Airport Commission,Matched payment,No action required.
53951301,PAY-0177513901,VESTIS SERVICES LLC,151.61,151.61,0.0,2021-08-17,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53960601,PAY-0173835101,PACE SUPPLY CORP,30.64,30.64,0.0,2021-07-19,matched,HSA Human Services Agency,Matched payment,No action required.
53943801,PAY-0193814801,MICROBIZ SECURITY CO INC,30.0,30.0,0.0,2022-01-12,matched,MTA Municipal Transprtn Agncy,Matched payment,No action required.
53995901,PAY-0181121001,SHRED WORKS,94.4,80.0,-14.4,2021-09-20,underpaid,CAT City Attorney,Installment split created a short settlement,Match split installments against the original invoice value.
53968901,PAY-0199408401,CITY AUTO SUPPLY,723.45,723.45,0.0,2022-02-24,matched,AIR Airport Commission,Matched payment,No action required.
53920401,PAY-0195503601,EBP US INC,15452.66,15452.66,0.0,2022-01-26,matched,AIR Airport Commission,Matched payment,No action required.
53924401,PAY-0212415901,BlueTriton Brands Inc,58.72,58.72,0.0,2022-06-07,matched,DPH Public Health,Matched payment,No action required.
54000201,PAY-0179944701,GARRATT-CALLAHAN COMPANY,1668.58,1668.58,0.0,2021-09-09,duplicate_suspected,DPH Public Health,Same invoice may have been submitted through two channels,Compare intake channels and cancel the duplicate record.
53925701,PAY-0177782201,OFFICE DEPOT,446.79,446.79,0.0,2021-08-18,matched,DPH Public Health,Matched payment,No action required.
53970601,PAY-0206592001,SERRAMONTE FORD,179.34,179.34,0.0,2022-04-20,matched,AIR Airport Commission,Matched payment,No action required.
53972701,PAY-0177711301,XEROX CORPORATION,189.82,189.82,0.0,2021-08-18,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53988801,PAY-0194998701,HARRISON & BONINI INC,322.66,273.44,-49.22,2022-01-21,underpaid,AIR Airport Commission,Credit note offset applied incorrectly,Review offset rules and clear the short payment.
53996701,PAY-0191231301,WESTERN STATES OIL,5384.03,4562.74,-821.29,2021-12-15,underpaid,FIR Fire Department,Credit note offset applied incorrectly,Review offset rules and clear the short payment.
53993801,PAY-0173809001,MEDLINE INDUSTRIES INC,23.59,19.99,-3.6,2021-07-17,underpaid,DPH Public Health,Credit note offset applied incorrectly,Review offset rules and clear the short payment.
53975701,PAY-0203327101,CENTER HARDWARE CO INC,18.45,21.71,3.26,2022-03-24,overpaid,REG Elections,Overpayment due to manual posting error,Investigate posting entry and recover excess payment.
53980601,PAY-0177289301,MICHEL A. KOZAK,2040.0,2400.0,360.0,2021-08-13,overpaid,POL Police,Duplicate approval led to excess settlement,Reverse the duplicate approval and initiate vendor recovery.
53969601,PAY-0190373001,TFB GLOBAL LLC,1571.33,1571.33,0.0,2021-12-08,matched,AIR Airport Commission,Matched payment,No action required.
53952501,PAY-0209869301,VESTIS SERVICES LLC,14.9,14.9,0.0,2022-05-17,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53924401,PAY-0207184601,BlueTriton Brands Inc,48.37,48.37,0.0,2022-04-25,matched,DPH Public Health,Matched payment,No action required.
53970601,PAY-0188819601,SERRAMONTE FORD,124.53,124.53,0.0,2021-11-23,matched,AIR Airport Commission,Matched payment,No action required.
53953501,PAY-0199638101,SAN FRANCISCO FOOD BANK,256.38,256.38,0.0,2022-02-26,matched,DPH Public Health,Matched payment,No action required.
53924401,PAY-0182647701,BlueTriton Brands Inc,92.41,92.41,0.0,2021-10-01,matched,DPH Public Health,Matched payment,No action required.
53970601,PAY-0210437901,SERRAMONTE FORD,588.46,588.46,0.0,2022-05-21,matched,AIR Airport Commission,Matched payment,No action required.
54006301,PAY-0198808101,STAPLES BUSINESS ADVANTAGE,114.14,114.14,0.0,2022-02-18,duplicate_suspected,LIB Public Library,Possible duplicate voucher posting,Cross-check voucher references and stop secondary settlement.
53924401,PAY-0202259701,BlueTriton Brands Inc,70.39,70.39,0.0,2022-03-16,matched,DPH Public Health,Matched payment,No action required.
53924401,PAY-0207205601,BlueTriton Brands Inc,4.33,4.33,0.0,2022-04-25,matched,DPH Public Health,Matched payment,No action required.
53961201,PAY-0173559801,MEDLINE INDUSTRIES INC,28.04,28.04,0.0,2021-07-15,matched,DPH Public Health,Matched payment,No action required.
53952501,PAY-0189001701,VESTIS SERVICES LLC,14.9,14.9,0.0,2021-11-24,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53968901,PAY-0180002101,CITY AUTO SUPPLY,28.23,28.23,0.0,2021-09-10,matched,AIR Airport Commission,Matched payment,No action required.
53951101,PAY-0178955301,GRAINGER,163.51,163.51,0.0,2021-08-31,matched,LIB Public Library,Matched payment,No action required.
53968801,PAY-0173363401,SELF-HELP FOR THE ELDERLY,143595.0,143595.0,0.0,2021-07-14,matched,HSA Human Services Agency,Matched payment,No action required.
53989101,PAY-0175395601,SPEEDY'S HARDWARE,4209.33,3567.23,-642.1,2021-07-30,underpaid,DPW Public Works,Credit note offset applied incorrectly,Review offset rules and clear the short payment.
53976401,PAY-0178411501,K & H INTEGRATED PRINT SOLUTIONS,31023.77,36498.55,5474.78,2021-08-24,overpaid,REG Elections,Tax or surcharge applied twice,Validate tax components and adjust the payment record.
53939401,PAY-0196289501,BOUND TREE MEDICAL LLC,2286.6,2286.6,0.0,2022-02-02,matched,FIR Fire Department,Matched payment,No action required.
54007001,PAY-0199228301,GRAINGER,596.59,596.59,0.0,2022-02-23,duplicate_suspected,LIB Public Library,Same invoice may have been submitted through two channels,Compare intake channels and cancel the duplicate record.
53917201,PAY-0188793701,VESTIS SERVICES LLC,571.35,571.35,0.0,2021-11-23,matched,AIR Airport Commission,Matched payment,No action required.
53939401,PAY-0191217601,BOUND TREE MEDICAL LLC,10123.21,10123.21,0.0,2021-12-15,matched,FIR Fire Department,Matched payment,No action required.
53995301,PAY-0191009901,MT ST JOSEPH-ST ELIZABETH,23892.98,20248.29,-3644.69,2021-12-14,underpaid,DPH Public Health,Credit note offset applied incorrectly,Review offset rules and clear the short payment.
53973401,PAY-0213676801,OFFICE DEPOT,35.17,35.17,0.0,2022-06-24,matched,DPH Public Health,Matched payment,No action required.
53971201,PAY-0192522401,XEROX CORPORATION,152.64,152.64,0.0,2021-12-27,matched,PUC Public Utilities Commsn,Matched payment,No action required.
54011001,PAY-0191389701,HILL-ROM COMPANY INC,4512.94,4652.52,139.58,2021-12-16,ledger_mismatch,DPH Public Health,Ledger sync delay or wrong department mapping,Reconcile ledger entry and correct department allocation.
53966501,PAY-0192178001,PROFESSIONAL CONTRACTOR SUPPLY (PCS),386.28,386.28,0.0,2021-12-22,matched,ADM GSA - City Administrator,Matched payment,No action required.
53922401,PAY-0186455101,Morgan Stanley Capital Group Inc.,345098.25,345098.25,0.0,2021-12-13,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53965201,PAY-0211670401,GOLDEN GATE PETROLEUM,4211.51,4211.51,0.0,2022-06-01,matched,PUC Public Utilities Commsn,Matched payment,No action required.
54008201,PAY-0202069001,MISSION LINEN SUPPLY,335.28,345.65,10.37,2022-03-15,ledger_mismatch,DPH Public Health,Journal posted to incorrect cost center,Move the journal entry to the right cost center and rebalance.
53921401,PAY-0187759101,CALPINE ENERGY SERVICES LP,75000.0,75000.0,0.0,2021-11-17,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53939801,PAY-0173572701,MEDLINE INDUSTRIES INC,123.36,123.36,0.0,2021-07-15,matched,DPH Public Health,Matched payment,No action required.
53981701,PAY-0209553901,TREELINE SECURITY INC,2611.84,3072.75,460.91,2022-05-13,overpaid,PUC Public Utilities Commsn,Overpayment due to manual posting error,Investigate posting entry and recover excess payment.
53966601,PAY-0177516301,DIRECTV INC,13.0,13.0,0.0,2021-08-17,matched,PRT Port,Matched payment,No action required.
54008201,PAY-0180723001,MISSION LINEN SUPPLY,362.94,374.17,11.23,2021-09-16,ledger_mismatch,DPH Public Health,Ledger update lag after payment clearance,Refresh ledger sync and confirm the final posted amount.
53996701,PAY-0194104301,WESTERN STATES OIL,4044.93,3427.91,-617.02,2022-01-12,underpaid,FIR Fire Department,Partial payment or approval hold,Validate invoice approval path and release remaining balance.
53918901,PAY-0201625901,EPISCOPAL COMMUNITY SVCS OF S F INC,0.97,0.97,0.0,2022-03-11,matched,DPH Public Health,Matched payment,No action required.
53925701,PAY-0211480401,OFFICE DEPOT,114.73,114.73,0.0,2022-05-31,matched,DPH Public Health,Matched payment,No action required.
53969601,PAY-0178889001,TFB GLOBAL LLC,9204.56,9204.56,0.0,2021-08-30,matched,AIR Airport Commission,Matched payment,No action required.
53935901,PAY-0173808901,MEDLINE INDUSTRIES INC,19.99,19.99,0.0,2021-07-17,matched,DPH Public Health,Matched payment,No action required.
53973601,PAY-0186536701,DISCOUNT BUILDERS SUPPLY,63.84,63.84,0.0,2021-11-08,matched,HOM Homelessness Services,Matched payment,No action required.
53915801,PAY-0172084701,MICROBIZ SECURITY CO INC,971.11,971.11,0.0,2021-07-13,matched,REC Recreation & Park Commsn,Matched payment,No action required.
53996701,PAY-0196402601,WESTERN STATES OIL,5947.84,5040.54,-907.3,2022-02-03,underpaid,FIR Fire Department,Installment split created a short settlement,Match split installments against the original invoice value.
53976001,PAY-0176625101,Jimmie Muscatello's,328.23,386.15,57.92,2021-08-09,overpaid,POL Police,Duplicate approval led to excess settlement,Reverse the duplicate approval and initiate vendor recovery.
53969601,PAY-0207595701,TFB GLOBAL LLC,795.38,795.38,0.0,2022-04-28,matched,AIR Airport Commission,Matched payment,No action required.
53954401,PAY-0202215301,PARKMERCED OWNER LLC,2379.0,2379.0,0.0,2022-03-16,matched,HSA Human Services Agency,Matched payment,No action required.
53950801,PAY-0175881101,US FOODS INC,108.4,108.4,0.0,2021-08-03,matched,DPH Public Health,Matched payment,No action required.
53952301,PAY-0198329701,FELTON INSTITUTE,21826.37,21826.37,0.0,2022-02-16,matched,DPH Public Health,Matched payment,No action required.
53965201,PAY-0196376301,GOLDEN GATE PETROLEUM,4656.71,4656.71,0.0,2022-02-02,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53983701,PAY-0205912101,VERIZON WIRELESS,730.9,859.88,128.98,2022-04-14,overpaid,PUC Public Utilities Commsn,Duplicate approval led to excess settlement,Reverse the duplicate approval and initiate vendor recovery.
53996701,PAY-0209167601,WESTERN STATES OIL,6548.47,5549.55,-998.92,2022-05-11,underpaid,FIR Fire Department,Partial payment or approval hold,Validate invoice approval path and release remaining balance.
53996701,PAY-0189546901,WESTERN STATES OIL,946.42,802.05,-144.37,2021-12-01,underpaid,FIR Fire Department,Partial payment or approval hold,Validate invoice approval path and release remaining balance.
54004501,PAY-0192498501,WESTERN ROOFING SERVICE,788.95,788.95,0.0,2021-12-27,duplicate_suspected,LIB Public Library,Possible duplicate voucher posting,Cross-check voucher references and stop secondary settlement.
53991001,PAY-0179706901,S F DENTAL SUPPLY LLC,3656.78,3098.97,-557.81,2021-09-07,underpaid,DPH Public Health,Partial payment or approval hold,Validate invoice approval path and release remaining balance.
53927401,PAY-0176154201,L N CURTIS & SONS,4833.22,4833.22,0.0,2021-08-05,matched,AIR Airport Commission,Matched payment,No action required.
53970601,PAY-0197641701,SERRAMONTE FORD,298.17,298.17,0.0,2022-02-11,matched,AIR Airport Commission,Matched payment,No action required.
53979001,PAY-0179820201,AON RISK INSURANCE SERVICES WEST INC,81600.0,96000.0,14400.0,2021-09-08,overpaid,ADM GSA - City Administrator,Tax or surcharge applied twice,Validate tax components and adjust the payment record.
53937201,PAY-0212956201,BUCKLES-SMITH ELECTRIC CO,1173.15,1173.15,0.0,2022-06-10,matched,PRT Port,Matched payment,No action required.
54000501,PAY-0188950401,WESTSIDE COMMUNITY MENTAL HEALTH CTR INC,577.46,577.46,0.0,2021-11-24,duplicate_suspected,DPH Public Health,Same invoice may have been submitted through two channels,Compare intake channels and cancel the duplicate record.
53924401,PAY-0180117701,BlueTriton Brands Inc,99.75,99.75,0.0,2021-09-10,matched,DPH Public Health,Matched payment,No action required.
53944301,PAY-0175355001,M S C INDUSTRIAL SUPPLY COMPANY INC,206.35,206.35,0.0,2021-07-29,matched,ADM GSA - City Administrator,Matched payment,No action required.
53970601,PAY-0180520301,SERRAMONTE FORD,1761.86,1761.86,0.0,2021-09-15,matched,AIR Airport Commission,Matched payment,No action required.
53968901,PAY-0177264801,CITY AUTO SUPPLY,721.76,721.76,0.0,2021-08-13,matched,AIR Airport Commission,Matched payment,No action required.
53939401,PAY-0182143401,BOUND TREE MEDICAL LLC,457.7,457.7,0.0,2021-09-27,matched,FIR Fire Department,Matched payment,No action required.
53951301,PAY-0211492701,VESTIS SERVICES LLC,73.5,73.5,0.0,2022-05-31,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53996701,PAY-0192180701,WESTERN STATES OIL,4377.13,3709.43,-667.7,2021-12-22,underpaid,FIR Fire Department,Credit note offset applied incorrectly,Review offset rules and clear the short payment.
53918901,PAY-0192084601,EPISCOPAL COMMUNITY SVCS OF S F INC,7939.1,7939.1,0.0,2021-12-22,matched,DPH Public Health,Matched payment,No action required.
53949801,PAY-0205391701,WILLIAM STOUT ARCHITECTURAL BOOKS,99.88,99.88,0.0,2022-04-11,matched,LIB Public Library,Matched payment,No action required.
54009801,PAY-0209952601,CITY AUTO SUPPLY,75.75,78.09,2.34,2022-05-25,ledger_mismatch,MTA Municipal Transprtn Agncy,Journal posted to incorrect cost center,Move the journal entry to the right cost center and rebalance.
53971301,PAY-0209937001,KONICA MINOLTA BUSINESS SOLUTNS USA INC,360.06,360.06,0.0,2022-05-18,matched,DPH Public Health,Matched payment,No action required.
53975701,PAY-0184305801,CENTER HARDWARE CO INC,273.26,273.26,0.0,2021-10-18,matched,REG Elections,Matched payment,No action required.
53921301,PAY-0179056801,INTERNATIONAL FIRE INC,290.46,290.46,0.0,2021-08-31,matched,ADM GSA - City Administrator,Matched payment,No action required.
54007601,PAY-0199221401,EVERBRIDGE INC,28950.0,28950.0,0.0,2022-02-23,duplicate_suspected,AIR Airport Commission,Repeat payment detected for same invoice pattern,Freeze the repeated payment and verify vendor history.
54011001,PAY-0212014001,HILL-ROM COMPANY INC,3704.04,3818.6,114.56,2022-06-13,ledger_mismatch,DPH Public Health,Ledger sync delay or wrong department mapping,Reconcile ledger entry and correct department allocation.
53951301,PAY-0181377001,VESTIS SERVICES LLC,21.95,21.95,0.0,2021-09-21,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53996401,PAY-0185753601,MACKAY METERS INC,945.42,801.2,-144.22,2021-11-05,underpaid,MTA Municipal Transprtn Agncy,Credit note offset applied incorrectly,Review offset rules and clear the short payment.
53949301,PAY-0179110901,OFFICE DEPOT,5.61,5.61,0.0,2021-09-01,matched,DPH Public Health,Matched payment,No action required.
