"server_id","cpu_usage","cost","vm_category","core_bucket","memory_bucket","max_cpu","p95_max_cpu","timestamp_vm_created","timestamp_vm_deleted"
"71fJw0x+SDRdAxKPwLyHZhTgQpYw2afS6tjJhfT6kHnmLH54/rl2etJKUpSFKoTB","0.73","2400","Delay-insensitive","8","32","91.78","20.76","558300","1673700"
"rKggHO/04j31UFy65mDTwtjdMQL/G03xWfl3xGeiilB4/W6gnWiD99ZhAo++QEVR","3.33","1600","Unknown","4","32","37.88","37.88","424500","425400"
"YrR8gPtBmfNaOdnNEW5If1SdTqQgGQHEnLHGPjySt53bKWsIlS26Phl9Uf5VHiso","0.22","1600","Unknown","4","32","0.3","0.3","1133100","1133700"
"xzQ++JF1UAkh70CDhmzkiOo+DQn+E2TLErCFKEmSswv1plXUxMIY6LUBGGvHU6et","30.34","500","Interactive","2","4","98.57","98.21","0","2591400"
"vZEivnhabRmImDr+JqKqZnpIM3WxtypwoxjfjnklR/idyRguCwj7lN8NAsWi+IGB","13.88","500","Unknown","2","4","82.58","82.58","228300","229800"
"MqvcZ6Au5ouI6if56MJHmoSqHtX8oRv0dPkaxCId3aUcr1/C8pMlY0sniJBP5MyA","0.04","1600","Unknown","4","32","0.1","0.1","1395600","1397700"
"034PavXAkWso23QmI+NMty3u9XA2FVhIKKOZV+tbQru/n53OuZ3DG5TZJ84IF0sF","0.03","1600","Unknown","4","32","0.07","0.07","1422300","1422600"
"fBpt5HSYGsQyRQSSrhj+n5IDFzMJKf2k6Am1OFEIGpFl6nFYMzfQ0yrdw5cuqDJ7","0.07","6400","Unknown","24","64","0.26","0.26","2414400","2414700"
"ZdSiRJc4t7SuV2uOfhbjkGXJPK6w1cuE8NcEYb+LJTOvWa8/zwsOlKUzOZsvamuM","0.03","1600","Unknown","4","32","0.1","0.1","165900","168300"
"uzIY/rjnHYDAGJ7AHxffw+n+QlBriI1s12yb7MtYSykiZfb3HXS9ObQLeK1yatOt","0.03","1600","Unknown","4","32","0.07","0.07","268500","269100"
"97Si0gKSlJ9/PPC+Rpr6ush+pVaitVU8VMrmW62OHu8hpAz8lAdZQs3gbSXSJpp0","13.34","2400","Unknown","8","32","90.12","78.16","552600","562200"
"leubawsjhRoMa5QOOeB0Y0cKavGzN5vItNz1Gk+7edoAr7c+hurWKAcvMmiRJPBa","31.69","600","Unknown","2","8","50.33","50.33","1698600","1698600"
"lOd2rRgDTG94XOt2qhKZCccNvfuqDWl7B3weer852v+TSRx9qxSKqZ5GoeFi74vV","11.27","1000","Unknown","4","8","86.62","77.13","624600","639600"
"QTuxFxKX7EDlQ7HD68wAXkAsqPX2RUjVwUVLLspo0WMGytGKgZr3KtwacktonCD4","0.67","450","Unknown","2","2","0.72","0.72","168000","168000"
"fXrWD0bT2VHUHeyEe7bPz9Na0AmLocx+Z+et0HMfHwmXLKrANDapIyKGjVnRYIDt","1.59","600","Unknown","2","8","11.83","11.83","423600","424200"
"jSdQgHYnMVpSJjnp1IslQLwvcFONBv2ChQuGVfdSG9b296YGQX0KbWAPfgO9eagP","4.64","500","Unknown","2","4","84.05","12.83","1192800","1458600"
"0M5tG96498At8u/HMYq80hqswXh5Kp/qgADInGJRlj3U0GiTQmgu2T8x+iGqc6dz","1.43","1600","Unknown","4","32","14.04","14.04","595800","595800"
"3+M1+ZCHM1udgzYZ1LwGNU2seXQOdeB3B2PULJS3ERGFSDgkiB2xXPhAPqvRe+Mv","0.03","1600","Unknown","4","32","0.09","0.09","268800","269400"
"vlb8POlnY+06NuSCYP4lFQSryGA8U9gSYDOSn7UFk5WoFUmldOoGTOcPfzjDJK0D","3.5","1000","Delay-insensitive","4","8","98.43","57.98","0","2591400"
"Ze47yvm1PzD12QRKZXhrjFSRnao1c/xHCo3E+JIxT5RKOEQTbDVXj1ZO7FkXh1ro","4.27","1600","Unknown","4","32","29.15","29.15","890700","891600"
"BcGvAPhri6ChpQJuf5gZ+xSRxwXTWv9gKfGwzjn03py7odd2Cim0HDku5EbUTdky","2.15","1600","Interactive","4","32","73.87","25.41","0","2591400"
"n060t7z99U8Hu7CqZujXnfo8nVcZ4NWs+dasng8f/AmQSWp/RKMJVOqzeem/o9Kn","30.35","600","Unknown","2","8","88.89","88.89","1612200","1614300"
"geYEP2ZIkC+TUSkCPtD/XFZlBUNp+fayy+BSfqSeKiaOE3yHKQYjO/obmlZUbkYh","1.94","1600","Delay-insensitive","4","32","67.96","8.13","304800","1206300"
