"transaction_id","vendor","amount","date","purchase_order","contract_number","department"
"0185659101","KONICA MINOLTA BUSINESS SOLUTNS USA INC","934.22","2021-11-12","000053914901","1000018494","DPH Public Health"
"0207430501","KONICA MINOLTA BUSINESS SOLUTNS USA INC","62.73","2022-04-27","000053914901","1000018494","DPH Public Health"
"0207431201","KONICA MINOLTA BUSINESS SOLUTNS USA INC","35.33","2022-04-27","000053914901","1000018494","DPH Public Health"
"0207431901","KONICA MINOLTA BUSINESS SOLUTNS USA INC","48.38","2022-04-27","000053914901","1000018494","DPH Public Health"
"0207432601","KONICA MINOLTA BUSINESS SOLUTNS USA INC","61.88","2022-04-27","000053914901","1000018494","DPH Public Health"
"0207433301","KONICA MINOLTA BUSINESS SOLUTNS USA INC","29.34","2022-04-27","000053914901","1000018494","DPH Public Health"
"0207434001","KONICA MINOLTA BUSINESS SOLUTNS USA INC","421.77","2022-04-27","000053914901","1000018494","DPH Public Health"
"0207434701","KONICA MINOLTA BUSINESS SOLUTNS USA INC","10.16","2022-04-27","000053914901","1000018494","DPH Public Health"
"0178805301","ERGO INDUSTRIAL SEATING SYSTEMS INC","667.21","2021-08-30","000053915401","","ADP Adult Probation"
"0172084701","MICROBIZ SECURITY CO INC","971.11","2021-07-13","000053915801","","REC Recreation & Park Commsn"
"0189209501","OFFICE DEPOT","57.84","2021-11-29","000053915901","","DPH Public Health"
"0192370801","OFFICE DEPOT","132.87","2021-12-23","000053915901","","DPH Public Health"
"0211400801","OFFICE DEPOT","896.06","2022-05-31","000053915901","","DPH Public Health"
"0178768601","MEDLINE INDUSTRIES INC","54.7","2021-08-28","000053916101","","DPH Public Health"
"0175293001","WESTWIND TRADING CO","6505.58","2021-08-19","000053916801","","MTA Municipal Transprtn Agncy"
"0174160901","VESTIS SERVICES LLC","516.43","2021-07-20","000053917201","1000016155","AIR Airport Commission"
"0177756101","VESTIS SERVICES LLC","495.38","2021-08-18","000053917201","1000016155","AIR Airport Commission"
"0177759701","VESTIS SERVICES LLC","527.78","2021-08-18","000053917201","1000016155","AIR Airport Commission"
"0178848901","VESTIS SERVICES LLC","26.46","2021-08-30","000053917201","1000016155","AIR Airport Commission"
"0181279201","VESTIS SERVICES LLC","25.33","2021-09-21","000053917201","1000016155","AIR Airport Commission"
"0183589301","VESTIS SERVICES LLC","462.33","2021-10-12","000053917201","1000016155","AIR Airport Commission"
"0184481601","VESTIS SERVICES LLC","448.65","2021-10-19","000053917201","1000016155","AIR Airport Commission"
"0186238101","VESTIS SERVICES LLC","24.25","2021-11-03","000053917201","1000016155","AIR Airport Commission"
"0188793701","VESTIS SERVICES LLC","571.35","2021-11-23","000053917201","1000016155","AIR Airport Commission"
"0190197101","VESTIS SERVICES LLC","24.25","2021-12-07","000053917201","1000016155","AIR Airport Commission"
"0192005401","VESTIS SERVICES LLC","22.84","2021-12-21","000053917201","1000016155","AIR Airport Commission"
"0193895401","VESTIS SERVICES LLC","433.89","2022-01-11","000053917201","1000016155","AIR Airport Commission"
"0195661501","VESTIS SERVICES LLC","467.21","2022-01-27","000053917201","1000016155","AIR Airport Commission"
"0197520601","VESTIS SERVICES LLC","484.6","2022-02-10","000053917201","1000016155","AIR Airport Commission"
"0201119701","VESTIS SERVICES LLC","543.78","2022-03-08","000053917201","1000016155","AIR Airport Commission"
"0203020801","VESTIS SERVICES LLC","605.5","2022-03-22","000053917201","1000016155","AIR Airport Commission"
"0204112801","VESTIS SERVICES LLC","22.18","2022-03-30","000053917201","1000016155","AIR Airport Commission"
"0207051701","VESTIS SERVICES LLC","611.69","2022-04-25","000053917201","1000016155","AIR Airport Commission"
"0208915501","VESTIS SERVICES LLC","717.21","2022-05-10","000053917201","1000016155","AIR Airport Commission"
"0209907901","VESTIS SERVICES LLC","22.18","2022-05-18","000053917201","1000016155","AIR Airport Commission"
"0190328601","A&A Health Services LLC","124000","2021-12-08","000053917401","1000021416","DPH Public Health"
"0211979401","A&A Health Services LLC","184000","2022-06-08","000053917401","1000021416","DPH Public Health"
"0198330501","SCHNEIDER ELECTRIC BUILDINGS AMERICAS","21174.58","2022-02-16","000053917601","1000003129","LIB Public Library"
"0177019601","BlueTriton Brands Inc","144.17","2021-08-11","000053917701","1000013890","DPH Public Health"
"0189407601","BlueTriton Brands Inc","179.19","2021-11-30","000053917701","1000013890","DPH Public Health"
"0214918901","BlueTriton Brands Inc","204.19","2022-06-23","000053917701","1000013890","DPH Public Health"
"0183637301","OFFICE DEPOT","1113.23","2021-10-12","000053918001","","DPH Public Health"
"0198564701","OFFICE DEPOT","60.81","2022-02-17","000053918001","","DPH Public Health"
"0186032001","CENTER HARDWARE CO INC","129.51","2021-11-02","000053918101","","REC Recreation & Park Commsn"
"0185652201","KONICA MINOLTA BUSINESS SOLUTNS USA INC","6.37","2021-11-12","000053918301","1000018494","DPH Public Health"
"0185652901","KONICA MINOLTA BUSINESS SOLUTNS USA INC","60.03","2021-11-12","000053918301","1000018494","DPH Public Health"
"0185653601","KONICA MINOLTA BUSINESS SOLUTNS USA INC","141.23","2021-11-12","000053918301","1000018494","DPH Public Health"
"0189394601","KONICA MINOLTA BUSINESS SOLUTNS USA INC","483.03","2021-11-30","000053918301","1000018494","DPH Public Health"
"0198816701","KONICA MINOLTA BUSINESS SOLUTNS USA INC","32.88","2022-02-22","000053918301","1000018494","DPH Public Health"
"0198817401","KONICA MINOLTA BUSINESS SOLUTNS USA INC","11.84","2022-02-22","000053918301","1000018494","DPH Public Health"
"0206545901","KONICA MINOLTA BUSINESS SOLUTNS USA INC","36.76","2022-04-21","000053918301","1000018494","DPH Public Health"
"0206546601","KONICA MINOLTA BUSINESS SOLUTNS USA INC","79.28","2022-04-21","000053918301","1000018494","DPH Public Health"
"0206547301","KONICA MINOLTA BUSINESS SOLUTNS USA INC","74.23","2022-04-21","000053918301","1000018494","DPH Public Health"
"0206548001","KONICA MINOLTA BUSINESS SOLUTNS USA INC","20.58","2022-04-21","000053918301","1000018494","DPH Public Health"
"0180010601","KONICA MINOLTA BUSINESS SOLUTNS USA INC","418.33","2021-09-10","000053918501","1000017630","DPH Public Health"
"0178670001","CENTER HARDWARE CO INC","126.06","2021-08-27","000053918801","","REC Recreation & Park Commsn"
